Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers ,0.7729077393249155,4.324941430425291,0.0,0.0,115,38,ILMN_1815719;ILMN_1781155;ILMN_1680274;ILMN_1808501;ILMN_1674228;ILMN_1766275;ILMN_1652199;ILMN_1659227;ILMN_1781207;ILMN_1782704;ILMN_2059549;ILMN_1743797;ILMN_1668277;ILMN_1698001;ILMN_1873838;ILMN_1662026;ILMN_1717334;ILMN_1815652;ILMN_1652787;ILMN_1778242;ILMN_1767135;ILMN_1724148;ILMN_1655940;ILMN_1742521;ILMN_1674380;ILMN_1792075;ILMN_1664691;ILMN_1815500;ILMN_1798530;ILMN_2064694;ILMN_1799110;ILMN_2142935;ILMN_1821486;ILMN_1689057;ILMN_1736103;ILMN_1789505;ILMN_1664122;ILMN_1770412,ILMN_1815719;ILMN_1781155;ILMN_1680274;ILMN_1808501;ILMN_1674228;ILMN_1766275;ILMN_1652199;ILMN_1659227;ILMN_1781207;ILMN_1782704;ILMN_2059549;ILMN_1743797;ILMN_1668277;ILMN_1698001;ILMN_1873838;ILMN_1662026;ILMN_1717334;ILMN_1815652;ILMN_1652787;ILMN_1778242;ILMN_1767135;ILMN_1724148;ILMN_1655940;ILMN_1742521;ILMN_1674380;ILMN_1792075;ILMN_1664691;ILMN_1815500
Antigen processing-Cross presentation ,0.6826506070641962,4.337207573508555,0.0,0.0,164,102,ILMN_1777565;ILMN_1765258;ILMN_2374036;ILMN_2335704;ILMN_1751079;ILMN_1762861;ILMN_1724533;ILMN_1697309;ILMN_1776173;ILMN_2376108;ILMN_1744604;ILMN_1671054;ILMN_1778401;ILMN_1743032;ILMN_1736256;ILMN_1656670;ILMN_1764794;ILMN_1740015;ILMN_2203950;ILMN_1748352;ILMN_1706217;ILMN_1662026;ILMN_1682098;ILMN_1759250;ILMN_1786612;ILMN_1683026;ILMN_2148459;ILMN_1701962;ILMN_1801852;ILMN_1737396;ILMN_1796430;ILMN_2367020;ILMN_2391051;ILMN_1725427;ILMN_1796094;ILMN_1654560;ILMN_1744649;ILMN_1704094;ILMN_1763540;ILMN_1814156;ILMN_2387553;ILMN_1759952;ILMN_1738523;ILMN_1809010;ILMN_1779381;ILMN_1709611;ILMN_1796642;ILMN_1768784;ILMN_1747195;ILMN_1712432;ILMN_1748651;ILMN_1659564;ILMN_1732767;ILMN_1702837;ILMN_1721659;ILMN_1674789;ILMN_1767006;ILMN_1783946;ILMN_2165753;ILMN_1800952;ILMN_2150787;ILMN_1772387;ILMN_1780189;ILMN_1707308;ILMN_2383435;ILMN_1733256;ILMN_2048326;ILMN_2395389;ILMN_2096759;ILMN_1742450;ILMN_1704404;ILMN_1779633;ILMN_1659103;ILMN_1782977;ILMN_1669753;ILMN_1714527;ILMN_1798433;ILMN_1810264;ILMN_2291010;ILMN_1797406;ILMN_2169439;ILMN_2331501;ILMN_1784238;ILMN_1718754;ILMN_1782851;ILMN_1697691;ILMN_1666409;ILMN_1691428;ILMN_1806017;ILMN_1677041;ILMN_2191428;ILMN_1687519;ILMN_2190084;ILMN_2400603;ILMN_2058512;ILMN_2346573;ILMN_1796755;ILMN_1720926;ILMN_1680313;ILMN_1727142;ILMN_1737862;ILMN_2344130,ILMN_1777565;ILMN_1765258;ILMN_2374036;ILMN_2335704;ILMN_1751079;ILMN_1762861;ILMN_1724533;ILMN_1697309;ILMN_1776173;ILMN_2376108;ILMN_1744604;ILMN_1671054;ILMN_1778401;ILMN_1743032;ILMN_1736256;ILMN_1656670;ILMN_1764794;ILMN_1740015;ILMN_2203950;ILMN_1748352;ILMN_1706217;ILMN_1662026;ILMN_1682098;ILMN_1759250;ILMN_1786612;ILMN_1683026;ILMN_2148459;ILMN_1701962;ILMN_1801852;ILMN_1737396;ILMN_1796430;ILMN_2367020;ILMN_2391051;ILMN_1725427;ILMN_1796094;ILMN_1654560;ILMN_1744649;ILMN_1704094;ILMN_1763540;ILMN_1814156;ILMN_2387553;ILMN_1759952;ILMN_1738523;ILMN_1809010;ILMN_1779381;ILMN_1709611;ILMN_1796642;ILMN_1768784;ILMN_1747195;ILMN_1712432;ILMN_1748651;ILMN_1659564;ILMN_1732767;ILMN_1702837;ILMN_1721659;ILMN_1674789;ILMN_1767006;ILMN_1783946;ILMN_2165753;ILMN_1800952
Binding and Uptake of Ligands by Scavenger Receptors ,0.7355965663415832,4.31148695393544,0.0,0.0,129,50,ILMN_1680274;ILMN_1674228;ILMN_2379599;ILMN_1652199;ILMN_1743797;ILMN_1731503;ILMN_2105441;ILMN_1736256;ILMN_1814823;ILMN_1873838;ILMN_1815652;ILMN_1740938;ILMN_1751062;ILMN_2096116;ILMN_1712888;ILMN_1796094;ILMN_1677497;ILMN_1724994;ILMN_1655940;ILMN_1735192;ILMN_1673649;ILMN_1669772;ILMN_1808732;ILMN_1653028;ILMN_1812433;ILMN_1667796;ILMN_1809212;ILMN_2100437;ILMN_1782939;ILMN_2373285;ILMN_1664024;ILMN_1670306;ILMN_1761793;ILMN_1798530;ILMN_1799110;ILMN_1773079;ILMN_1796734;ILMN_1785892;ILMN_1821486;ILMN_2104356;ILMN_2390946;ILMN_2373515;ILMN_1689088;ILMN_1695446;ILMN_1701308;ILMN_1683146;ILMN_2183409;ILMN_1690884;ILMN_1820437;ILMN_1668593,ILMN_1680274;ILMN_1674228;ILMN_2379599;ILMN_1652199;ILMN_1743797;ILMN_1731503;ILMN_2105441;ILMN_1736256;ILMN_1814823;ILMN_1873838;ILMN_1815652;ILMN_1740938;ILMN_1751062;ILMN_2096116;ILMN_1712888;ILMN_1796094;ILMN_1677497;ILMN_1724994;ILMN_1655940;ILMN_1735192;ILMN_1673649;ILMN_1669772;ILMN_1808732;ILMN_1653028;ILMN_1812433;ILMN_1667796;ILMN_1809212;ILMN_2100437;ILMN_1782939;ILMN_2373285;ILMN_1664024
Chemokine receptors bind chemokines ,0.7443173244369174,4.362005939734288,0.0,0.0,65,54,ILMN_1745356;ILMN_2098126;ILMN_1715131;ILMN_1674640;ILMN_1797975;ILMN_1791759;ILMN_1783593;ILMN_1720048;ILMN_1678833;ILMN_1846001;ILMN_1769129;ILMN_1677505;ILMN_1718552;ILMN_1716276;ILMN_1683456;ILMN_1682636;ILMN_1710186;ILMN_1779234;ILMN_2086143;ILMN_1657234;ILMN_1666733;ILMN_1737817;ILMN_1787897;ILMN_2160476;ILMN_1777461;ILMN_1671509;ILMN_1803825;ILMN_2224955;ILMN_2371458;ILMN_2145033;ILMN_1666493;ILMN_2228845;ILMN_1699669;ILMN_1725519;ILMN_1752562;ILMN_1767281;ILMN_1773245;ILMN_1709350;ILMN_1680397;ILMN_1763127;ILMN_1763322;ILMN_1662524;ILMN_1675346;ILMN_2045324;ILMN_2086965;ILMN_2113606;ILMN_1664316;ILMN_1666257;ILMN_2246410;ILMN_1728478;ILMN_1781769;ILMN_2067895;ILMN_2387696;ILMN_2088437,ILMN_1745356;ILMN_2098126;ILMN_1715131;ILMN_1674640;ILMN_1797975;ILMN_1791759;ILMN_1783593;ILMN_1720048;ILMN_1678833;ILMN_1846001;ILMN_1769129;ILMN_1677505;ILMN_1718552;ILMN_1716276;ILMN_1683456;ILMN_1682636;ILMN_1710186;ILMN_1779234;ILMN_2086143;ILMN_1657234;ILMN_1666733;ILMN_1737817;ILMN_1787897;ILMN_2160476;ILMN_1777461;ILMN_1671509;ILMN_1803825;ILMN_2224955;ILMN_2371458;ILMN_2145033;ILMN_1666493
Creation of C4 and C2 activators ,0.8271665654213178,4.28197137985704,0.0,0.0,102,24,ILMN_1680274;ILMN_1668063;ILMN_1674228;ILMN_1652199;ILMN_1804601;ILMN_1737918;ILMN_1796409;ILMN_1785902;ILMN_1743797;ILMN_1781626;ILMN_1873838;ILMN_1815652;ILMN_1655940;ILMN_1735192;ILMN_2349771;ILMN_1798530;ILMN_1799110;ILMN_1714057;ILMN_1785892;ILMN_1821486;ILMN_1780575;ILMN_1656242;ILMN_1762464;ILMN_1722948,ILMN_1680274;ILMN_1668063;ILMN_1674228;ILMN_1652199;ILMN_1804601;ILMN_1737918;ILMN_1796409;ILMN_1785902;ILMN_1743797;ILMN_1781626;ILMN_1873838;ILMN_1815652;ILMN_1655940;ILMN_1735192
FCGR activation ,0.8633879268085762,4.284568367895385,0.0,0.0,100,23,ILMN_1676924;ILMN_1781155;ILMN_1680274;ILMN_1717197;ILMN_1674228;ILMN_1652199;ILMN_1781207;ILMN_1804601;ILMN_2059549;ILMN_1791771;ILMN_1743797;ILMN_1873838;ILMN_1815652;ILMN_2391051;ILMN_1691466;ILMN_2289849;ILMN_1655940;ILMN_1778253;ILMN_1798530;ILMN_1799110;ILMN_1821486;ILMN_2112580;ILMN_1722948,ILMN_1676924;ILMN_1781155;ILMN_1680274;ILMN_1717197;ILMN_1674228;ILMN_1652199;ILMN_1781207;ILMN_1804601;ILMN_2059549;ILMN_1791771;ILMN_1743797;ILMN_1873838;ILMN_1815652;ILMN_2391051;ILMN_1691466;ILMN_2289849;ILMN_1655940
Generation of second messenger molecules ,0.791856076442755,4.390009232284859,0.0,0.0,81,34,ILMN_1815719;ILMN_1676924;ILMN_2261416;ILMN_1699160;ILMN_1717197;ILMN_1796537;ILMN_1760027;ILMN_1719756;ILMN_1739794;ILMN_1658962;ILMN_1698001;ILMN_1808405;ILMN_1717261;ILMN_1772218;ILMN_1689655;ILMN_2382906;ILMN_2157441;ILMN_1749070;ILMN_1661266;ILMN_1778143;ILMN_2279844;ILMN_1741648;ILMN_2159694;ILMN_1743358;ILMN_1715169;ILMN_1812001;ILMN_1799278;ILMN_1767365;ILMN_1697499;ILMN_2281320;ILMN_1712687;ILMN_1680144;ILMN_2370296;ILMN_1730622,ILMN_1815719;ILMN_1676924;ILMN_2261416;ILMN_1699160;ILMN_1717197;ILMN_1796537;ILMN_1760027;ILMN_1719756;ILMN_1739794;ILMN_1658962;ILMN_1698001;ILMN_1808405;ILMN_1717261;ILMN_1772218;ILMN_1689655;ILMN_2382906;ILMN_2157441;ILMN_1749070;ILMN_1661266;ILMN_1778143;ILMN_2279844
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell ,0.7707054729075341,5.363594360051341,0.0,0.0,393,145,ILMN_1765258;ILMN_1676924;ILMN_2196078;ILMN_2261416;ILMN_1711573;ILMN_1680274;ILMN_2323933;ILMN_1705892;ILMN_1717197;ILMN_1778723;ILMN_1799134;ILMN_2353732;ILMN_1674228;ILMN_1699931;ILMN_1667232;ILMN_1652199;ILMN_2312340;ILMN_1739794;ILMN_1777519;ILMN_1782704;ILMN_1779257;ILMN_1762861;ILMN_1710923;ILMN_1739756;ILMN_2079655;ILMN_1786823;ILMN_2175912;ILMN_1724422;ILMN_1743797;ILMN_2325763;ILMN_2044471;ILMN_1671054;ILMN_2355953;ILMN_2339294;ILMN_1778401;ILMN_1656670;ILMN_1726230;ILMN_1658399;ILMN_1768598;ILMN_1687825;ILMN_2112357;ILMN_2203950;ILMN_1729915;ILMN_1873838;ILMN_1719433;ILMN_1655549;ILMN_1815652;ILMN_2354191;ILMN_1778977;ILMN_1654210;ILMN_1725320;ILMN_1661631;ILMN_1747052;ILMN_1693552;ILMN_1659077;ILMN_1660027;ILMN_2148459;ILMN_1693207;ILMN_2193817;ILMN_1762260;ILMN_2391051;ILMN_1725427;ILMN_1742001;ILMN_1747622;ILMN_1708006;ILMN_2055781;ILMN_1677305;ILMN_1701237;ILMN_1681415;ILMN_2212763;ILMN_1708248;ILMN_1749591;ILMN_1723467;ILMN_1752647;ILMN_2408112;ILMN_1741917;ILMN_1655940;ILMN_1678882;ILMN_1701906;ILMN_2174805;ILMN_1738407;ILMN_1740298;ILMN_1795236;ILMN_1689953;ILMN_1740864;ILMN_1732799;ILMN_2165753;ILMN_1693781;ILMN_1792075;ILMN_2150787;ILMN_1688231;ILMN_1674785;ILMN_1651282;ILMN_1801246;ILMN_1723520;ILMN_1726545;ILMN_2393067;ILMN_1782741;ILMN_1769910;ILMN_1778974;ILMN_1798530;ILMN_1674593;ILMN_1770940;ILMN_1802524;ILMN_1734748;ILMN_2299095;ILMN_1799110;ILMN_1695744;ILMN_1730295;ILMN_1773079;ILMN_1694243;ILMN_1690783;ILMN_1733245;ILMN_1812226;ILMN_2222443;ILMN_1706186;ILMN_1761364;ILMN_1821486;ILMN_1722506;ILMN_1702385;ILMN_2112580;ILMN_1724709;ILMN_1680712;ILMN_1750761;ILMN_2104356;ILMN_2166812;ILMN_1787662;ILMN_1797929;ILMN_1689088;ILMN_1751095;ILMN_1767973;ILMN_2205322;ILMN_1686831;ILMN_1701308;ILMN_2406132;ILMN_1701248;ILMN_2389211;ILMN_1706722;ILMN_1768575;ILMN_1716983;ILMN_1669972;ILMN_1785900;ILMN_2199313;ILMN_1768754;ILMN_2337336,ILMN_1765258;ILMN_1676924;ILMN_2196078;ILMN_2261416;ILMN_1711573;ILMN_1680274;ILMN_2323933;ILMN_1705892;ILMN_1717197;ILMN_1778723;ILMN_1799134;ILMN_2353732;ILMN_1674228;ILMN_1699931;ILMN_1667232;ILMN_1652199;ILMN_2312340;ILMN_1739794;ILMN_1777519;ILMN_1782704;ILMN_1779257;ILMN_1762861;ILMN_1710923;ILMN_1739756;ILMN_2079655;ILMN_1786823;ILMN_2175912;ILMN_1724422;ILMN_1743797;ILMN_2325763;ILMN_2044471;ILMN_1671054;ILMN_2355953;ILMN_2339294;ILMN_1778401;ILMN_1656670;ILMN_1726230;ILMN_1658399;ILMN_1768598;ILMN_1687825;ILMN_2112357;ILMN_2203950;ILMN_1729915;ILMN_1873838;ILMN_1719433;ILMN_1655549;ILMN_1815652;ILMN_2354191;ILMN_1778977;ILMN_1654210;ILMN_1725320;ILMN_1661631;ILMN_1747052;ILMN_1693552;ILMN_1659077;ILMN_1660027;ILMN_2148459;ILMN_1693207;ILMN_2193817;ILMN_1762260;ILMN_2391051;ILMN_1725427;ILMN_1742001;ILMN_1747622;ILMN_1708006;ILMN_2055781;ILMN_1677305;ILMN_1701237;ILMN_1681415;ILMN_2212763;ILMN_1708248;ILMN_1749591;ILMN_1723467;ILMN_1752647;ILMN_2408112;ILMN_1741917;ILMN_1655940;ILMN_1678882;ILMN_1701906;ILMN_2174805;ILMN_1738407;ILMN_1740298
Phosphorylation of CD3 and TCR zeta chains ,0.8646434357808488,4.372775646784757,0.0,0.0,70,22,ILMN_1676924;ILMN_2261416;ILMN_1717197;ILMN_2055156;ILMN_1739794;ILMN_1653652;ILMN_1695640;ILMN_1808405;ILMN_1717261;ILMN_1754121;ILMN_1772218;ILMN_1689655;ILMN_2157441;ILMN_1749070;ILMN_1661266;ILMN_2279844;ILMN_1741648;ILMN_2159694;ILMN_1715169;ILMN_1697499;ILMN_1731589;ILMN_1680144,ILMN_1676924;ILMN_2261416;ILMN_1717197;ILMN_2055156;ILMN_1739794;ILMN_1653652;ILMN_1695640;ILMN_1808405;ILMN_1717261;ILMN_1754121;ILMN_1772218;ILMN_1689655;ILMN_2157441;ILMN_1749070;ILMN_1661266;ILMN_2279844
Signaling by the B Cell Receptor (BCR) ,0.6445581587846783,4.338033831110683,0.0,0.0,215,119,ILMN_1815719;ILMN_1781155;ILMN_1680274;ILMN_1808501;ILMN_1674228;ILMN_1766275;ILMN_1652199;ILMN_1659227;ILMN_1781207;ILMN_1782704;ILMN_1716563;ILMN_2059549;ILMN_1727045;ILMN_1776173;ILMN_1743797;ILMN_2376108;ILMN_1668277;ILMN_1775759;ILMN_1764794;ILMN_1796962;ILMN_1698001;ILMN_1873838;ILMN_1662026;ILMN_1717334;ILMN_1815652;ILMN_1682098;ILMN_1786612;ILMN_1683026;ILMN_2360028;ILMN_1701962;ILMN_1652787;ILMN_1737396;ILMN_1796430;ILMN_1768958;ILMN_1683969;ILMN_1778242;ILMN_1744649;ILMN_1704094;ILMN_1763540;ILMN_1814156;ILMN_2387553;ILMN_1759952;ILMN_1767135;ILMN_1724148;ILMN_1809010;ILMN_1655940;ILMN_1709611;ILMN_1721978;ILMN_1768784;ILMN_1747195;ILMN_1717313;ILMN_1712432;ILMN_1748651;ILMN_1732767;ILMN_1742521;ILMN_1702837;ILMN_1721659;ILMN_1674380;ILMN_1674152;ILMN_1767006;ILMN_1749629;ILMN_1800952;ILMN_1704529;ILMN_1792075;ILMN_1670970;ILMN_1789176;ILMN_1664691;ILMN_1815500;ILMN_1780189;ILMN_1716446;ILMN_1798530;ILMN_1810176;ILMN_1707308;ILMN_2064694;ILMN_2383435;ILMN_1733256;ILMN_2048326;ILMN_2395389;ILMN_1799110;ILMN_2142935;ILMN_2096759;ILMN_1704404;ILMN_1779633;ILMN_1729663;ILMN_1773154;ILMN_1659103;ILMN_1821486;ILMN_1782977;ILMN_1705266;ILMN_2394571;ILMN_2291010;ILMN_1797406;ILMN_2387791;ILMN_2331501;ILMN_1661083;ILMN_1689057;ILMN_1697691;ILMN_1666409;ILMN_1691428;ILMN_1806017;ILMN_1736103;ILMN_1677041;ILMN_1802669;ILMN_2191428;ILMN_1728071;ILMN_1789505;ILMN_2124064;ILMN_2058512;ILMN_1699798;ILMN_2346573;ILMN_1689438;ILMN_1664122;ILMN_1714965;ILMN_1720926;ILMN_1711766;ILMN_1770412;ILMN_1727142;ILMN_1737862;ILMN_2344130,ILMN_1815719;ILMN_1781155;ILMN_1680274;ILMN_1808501;ILMN_1674228;ILMN_1766275;ILMN_1652199;ILMN_1659227;ILMN_1781207;ILMN_1782704;ILMN_1716563;ILMN_2059549;ILMN_1727045;ILMN_1776173;ILMN_1743797;ILMN_2376108;ILMN_1668277;ILMN_1775759;ILMN_1764794;ILMN_1796962;ILMN_1698001;ILMN_1873838;ILMN_1662026;ILMN_1717334;ILMN_1815652;ILMN_1682098;ILMN_1786612;ILMN_1683026;ILMN_2360028;ILMN_1701962;ILMN_1652787;ILMN_1737396;ILMN_1796430;ILMN_1768958;ILMN_1683969;ILMN_1778242;ILMN_1744649;ILMN_1704094;ILMN_1763540;ILMN_1814156;ILMN_2387553;ILMN_1759952;ILMN_1767135;ILMN_1724148;ILMN_1809010;ILMN_1655940;ILMN_1709611;ILMN_1721978;ILMN_1768784;ILMN_1747195;ILMN_1717313;ILMN_1712432;ILMN_1748651;ILMN_1732767;ILMN_1742521;ILMN_1702837;ILMN_1721659;ILMN_1674380;ILMN_1674152;ILMN_1767006;ILMN_1749629;ILMN_1800952;ILMN_1704529;ILMN_1792075;ILMN_1670970;ILMN_1789176;ILMN_1664691;ILMN_1815500
Interleukin-2 family signaling ,0.7204572482759684,4.0991542213673435,0.0,7.766517814785001e-05,44,43,ILMN_1785202;ILMN_1683774;ILMN_1766275;ILMN_1794386;ILMN_1691364;ILMN_2059549;ILMN_1684349;ILMN_1744212;ILMN_1665682;ILMN_1693826;ILMN_2376455;ILMN_2369221;ILMN_1661861;ILMN_1683178;ILMN_1767135;ILMN_2279844;ILMN_1747344;ILMN_1742521;ILMN_1798475;ILMN_1793384;ILMN_1739667;ILMN_1772674;ILMN_1756455;ILMN_1786609;ILMN_1766320;ILMN_2207190;ILMN_2330966;ILMN_1701967;ILMN_1763347;ILMN_1753547;ILMN_1704321;ILMN_1728426;ILMN_1656869;ILMN_1705396;ILMN_1726565;ILMN_1689057;ILMN_1692893;ILMN_1692895;ILMN_1684034;ILMN_2151676;ILMN_1764414;ILMN_1664122;ILMN_1663618,ILMN_1785202;ILMN_1683774;ILMN_1766275;ILMN_1794386;ILMN_1691364;ILMN_2059549;ILMN_1684349;ILMN_1744212;ILMN_1665682;ILMN_1693826;ILMN_2376455;ILMN_2369221;ILMN_1661861;ILMN_1683178;ILMN_1767135;ILMN_2279844;ILMN_1747344;ILMN_1742521;ILMN_1798475;ILMN_1793384;ILMN_1739667
Cell surface interactions at the vascular wall ,0.6259558452435526,4.099615664754216,0.0,8.251925178209063e-05,237,141,ILMN_1695025;ILMN_1781155;ILMN_1680274;ILMN_2061043;ILMN_1778723;ILMN_2383058;ILMN_1674228;ILMN_1758146;ILMN_1772261;ILMN_1652199;ILMN_1781207;ILMN_1700147;ILMN_2175912;ILMN_1724422;ILMN_1743797;ILMN_1810275;ILMN_1744212;ILMN_1682332;ILMN_1698367;ILMN_2105441;ILMN_1775759;ILMN_1689518;ILMN_1873838;ILMN_1815652;ILMN_2123743;ILMN_2138589;ILMN_2086890;ILMN_1720373;ILMN_1747052;ILMN_1771333;ILMN_2364022;ILMN_2254635;ILMN_1798582;ILMN_1726448;ILMN_2382906;ILMN_1671928;ILMN_2379644;ILMN_1767135;ILMN_1749591;ILMN_1723467;ILMN_1691466;ILMN_1809291;ILMN_1655940;ILMN_2279844;ILMN_1687583;ILMN_1672350;ILMN_1805903;ILMN_1792679;ILMN_2324561;ILMN_1769575;ILMN_1731165;ILMN_1715417;ILMN_1742521;ILMN_1702534;ILMN_2317658;ILMN_2147517;ILMN_1739238;ILMN_1778236;ILMN_1704529;ILMN_1774207;ILMN_1681087;ILMN_1778237;ILMN_1688231;ILMN_2160209;ILMN_2267488;ILMN_2066151;ILMN_1779558;ILMN_1664024;ILMN_1668092;ILMN_1778253;ILMN_1717262;ILMN_1798530;ILMN_1721316;ILMN_1666022;ILMN_1738549;ILMN_1759787;ILMN_2206009;ILMN_1795106;ILMN_1743570;ILMN_1799110;ILMN_1728734;ILMN_1784553;ILMN_1706911;ILMN_2129668;ILMN_1732269;ILMN_1716238;ILMN_2193892;ILMN_1821486;ILMN_1745522;ILMN_1815308;ILMN_1658017;ILMN_1753523;ILMN_1774071;ILMN_2413816;ILMN_1656713;ILMN_1723035;ILMN_1693530;ILMN_1778374;ILMN_2104356;ILMN_1683093;ILMN_1701967;ILMN_1741115;ILMN_1763347;ILMN_1729690;ILMN_1806056;ILMN_1757052;ILMN_1705396;ILMN_2380181;ILMN_2169439;ILMN_1655229;ILMN_2388142;ILMN_1726565;ILMN_1701308;ILMN_1807074;ILMN_1689057;ILMN_1799708;ILMN_1708159;ILMN_1758443;ILMN_1772768;ILMN_1801776;ILMN_1654074;ILMN_1685009;ILMN_2281810;ILMN_1803429;ILMN_1728071;ILMN_1747271;ILMN_1685312;ILMN_1663042;ILMN_1735445;ILMN_1699798;ILMN_1801516;ILMN_1687721;ILMN_1664122;ILMN_2406532;ILMN_1812915;ILMN_1670959;ILMN_2371724;ILMN_1785900;ILMN_1712522;ILMN_1807894;ILMN_2407824,ILMN_1695025;ILMN_1781155;ILMN_1680274;ILMN_2061043;ILMN_1778723;ILMN_2383058;ILMN_1674228;ILMN_1758146;ILMN_1772261;ILMN_1652199;ILMN_1781207;ILMN_1700147;ILMN_2175912;ILMN_1724422;ILMN_1743797;ILMN_1810275;ILMN_1744212;ILMN_1682332;ILMN_1698367;ILMN_2105441;ILMN_1775759;ILMN_1689518;ILMN_1873838;ILMN_1815652;ILMN_2123743;ILMN_2138589;ILMN_2086890;ILMN_1720373;ILMN_1747052;ILMN_1771333;ILMN_2364022;ILMN_2254635;ILMN_1798582;ILMN_1726448;ILMN_2382906;ILMN_1671928;ILMN_2379644;ILMN_1767135;ILMN_1749591;ILMN_1723467;ILMN_1691466;ILMN_1809291;ILMN_1655940;ILMN_2279844;ILMN_1687583;ILMN_1672350;ILMN_1805903;ILMN_1792679;ILMN_2324561;ILMN_1769575;ILMN_1731165;ILMN_1715417;ILMN_1742521;ILMN_1702534;ILMN_2317658;ILMN_2147517;ILMN_1739238;ILMN_1778236;ILMN_1704529;ILMN_1774207;ILMN_1681087;ILMN_1778237;ILMN_1688231;ILMN_2160209;ILMN_2267488;ILMN_2066151;ILMN_1779558
Interferon gamma signaling ,0.6653074460561345,4.170194634615988,0.0,8.802053523423001e-05,189,95,ILMN_2114568;ILMN_1765258;ILMN_1701114;ILMN_1771385;ILMN_1774733;ILMN_1666594;ILMN_1762861;ILMN_2207291;ILMN_1691364;ILMN_1779252;ILMN_1807277;ILMN_2325763;ILMN_1671054;ILMN_1745079;ILMN_1778401;ILMN_1656670;ILMN_2371433;ILMN_1808405;ILMN_2203950;ILMN_1717261;ILMN_1774077;ILMN_1754507;ILMN_2400030;ILMN_1756953;ILMN_1772218;ILMN_1689655;ILMN_1708375;ILMN_2148459;ILMN_1773363;ILMN_1678054;ILMN_1746836;ILMN_2157441;ILMN_2391051;ILMN_1725427;ILMN_1681721;ILMN_2359601;ILMN_1749070;ILMN_1661266;ILMN_1683178;ILMN_1674063;ILMN_1745471;ILMN_1811588;ILMN_1741755;ILMN_1670576;ILMN_1681591;ILMN_2156250;ILMN_1838942;ILMN_2165753;ILMN_1793384;ILMN_1778236;ILMN_1672606;ILMN_1738704;ILMN_2349061;ILMN_2150787;ILMN_2184262;ILMN_1741648;ILMN_2159694;ILMN_2390586;ILMN_1780598;ILMN_1737599;ILMN_1683415;ILMN_1748685;ILMN_1765649;ILMN_1765547;ILMN_1762021;ILMN_1715169;ILMN_2383290;ILMN_2379835;ILMN_1812226;ILMN_1654786;ILMN_1697971;ILMN_1813625;ILMN_1697499;ILMN_2315208;ILMN_1725314;ILMN_1666445;ILMN_1746788;ILMN_1694174;ILMN_2052172;ILMN_2255142;ILMN_1666852;ILMN_1680144;ILMN_1702305;ILMN_1801105;ILMN_1670757;ILMN_1698237;ILMN_2331729;ILMN_1764964;ILMN_1664122;ILMN_1810441;ILMN_1671765;ILMN_1684352;ILMN_2072357;ILMN_1746704;ILMN_1770865,ILMN_2114568;ILMN_1765258;ILMN_1701114;ILMN_1771385;ILMN_1774733;ILMN_1666594;ILMN_1762861;ILMN_2207291;ILMN_1691364;ILMN_1779252;ILMN_1807277;ILMN_2325763;ILMN_1671054;ILMN_1745079;ILMN_1778401;ILMN_1656670;ILMN_2371433;ILMN_1808405;ILMN_2203950;ILMN_1717261;ILMN_1774077;ILMN_1754507;ILMN_2400030;ILMN_1756953;ILMN_1772218;ILMN_1689655;ILMN_1708375;ILMN_2148459;ILMN_1773363;ILMN_1678054;ILMN_1746836;ILMN_2157441;ILMN_2391051;ILMN_1725427;ILMN_1681721;ILMN_2359601;ILMN_1749070;ILMN_1661266;ILMN_1683178;ILMN_1674063;ILMN_1745471;ILMN_1811588;ILMN_1741755;ILMN_1670576;ILMN_1681591;ILMN_2156250;ILMN_1838942;ILMN_2165753;ILMN_1793384;ILMN_1778236;ILMN_1672606;ILMN_1738704;ILMN_2349061;ILMN_2150787;ILMN_2184262;ILMN_1741648;ILMN_2159694;ILMN_2390586;ILMN_1780598;ILMN_1737599;ILMN_1683415
