Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
CDT1 association with the CDC6:ORC:origin complex ,0.7194641331607691,3.5067931931474825,0.0,0.0,76,59,ILMN_1737396;ILMN_1768784;ILMN_1651237;ILMN_1712432;ILMN_2344130;ILMN_1727459;ILMN_1731070;ILMN_1737862;ILMN_1748651;ILMN_1759952;ILMN_2387553;ILMN_1764794;ILMN_1682098;ILMN_1784946;ILMN_2407124;ILMN_1800952;ILMN_1747195;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1785914;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1720114;ILMN_1796430;ILMN_1701962;ILMN_2061452;ILMN_1809010;ILMN_1709611;ILMN_1666409;ILMN_1733256;ILMN_2376108;ILMN_1763540;ILMN_2383435;ILMN_1806017;ILMN_1705093;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103;ILMN_2346573;ILMN_2191428;ILMN_1683026;ILMN_1740083;ILMN_1814156;ILMN_2291010;ILMN_1721659;ILMN_1776173;ILMN_1732767;ILMN_1780189;ILMN_2331501;ILMN_1697691;ILMN_1797406;ILMN_1782977;ILMN_2048326;ILMN_1720926;ILMN_1691428,ILMN_1737396;ILMN_1768784;ILMN_1651237;ILMN_1712432;ILMN_2344130;ILMN_1727459;ILMN_1731070;ILMN_1737862;ILMN_1748651;ILMN_1759952;ILMN_2387553;ILMN_1764794;ILMN_1682098;ILMN_1784946;ILMN_2407124;ILMN_1800952;ILMN_1747195;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1785914;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1720114;ILMN_1796430;ILMN_1701962;ILMN_2061452;ILMN_1809010;ILMN_1709611;ILMN_1666409;ILMN_1733256;ILMN_2376108;ILMN_1763540;ILMN_2383435;ILMN_1806017;ILMN_1705093;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103
Cell Cycle Checkpoints ,0.7079826540895056,3.558088454284325,0.0,0.0,325,284,ILMN_1664511;ILMN_1747911;ILMN_2202948;ILMN_1786125;ILMN_2412384;ILMN_1730825;ILMN_1716279;ILMN_1724489;ILMN_1664516;ILMN_1801257;ILMN_1712803;ILMN_2151488;ILMN_1771224;ILMN_1737195;ILMN_2362545;ILMN_1797307;ILMN_1681503;ILMN_1684217;ILMN_1664630;ILMN_1709294;ILMN_2132161;ILMN_1695357;ILMN_1736176;ILMN_2413899;ILMN_1801939;ILMN_2407619;ILMN_1668814;ILMN_1790537;ILMN_1670238;ILMN_1685916;ILMN_2301083;ILMN_1720526;ILMN_1709484;ILMN_2401436;ILMN_1742779;ILMN_2381138;ILMN_1741801;ILMN_2105923;ILMN_1807807;ILMN_1679438;ILMN_1665559;ILMN_2351916;ILMN_1684929;ILMN_1798654;ILMN_1737396;ILMN_1658010;ILMN_1768784;ILMN_1802951;ILMN_1803124;ILMN_1784860;ILMN_1732516;ILMN_1737205;ILMN_1670769;ILMN_1663390;ILMN_1793360;ILMN_1712432;ILMN_1787477;ILMN_1725121;ILMN_2355738;ILMN_2334205;ILMN_1770515;ILMN_1806818;ILMN_1664682;ILMN_2344130;ILMN_1727459;ILMN_1715905;ILMN_1697546;ILMN_1731070;ILMN_2358041;ILMN_1737862;ILMN_1748651;ILMN_1750145;ILMN_2181432;ILMN_1785756;ILMN_1801928;ILMN_2395236;ILMN_1759952;ILMN_1716895;ILMN_1751338;ILMN_2149400;ILMN_2387553;ILMN_2199284;ILMN_1764794;ILMN_1771903;ILMN_1682098;ILMN_1784946;ILMN_2379835;ILMN_1716336;ILMN_2407124;ILMN_1722102;ILMN_1756445;ILMN_1717714;ILMN_2074258;ILMN_1800952;ILMN_1795852;ILMN_1762674;ILMN_1747195;ILMN_1789176;ILMN_1728512;ILMN_1777721;ILMN_2408001;ILMN_1815924;ILMN_1732336;ILMN_1669635;ILMN_1732776;ILMN_1807535;ILMN_1815169;ILMN_1704094;ILMN_1814122;ILMN_2359887;ILMN_2096759;ILMN_2115340;ILMN_1702837;ILMN_1806483;ILMN_1785914;ILMN_1789283;ILMN_1748241;ILMN_1693221;ILMN_1806778;ILMN_1726104;ILMN_1704404;ILMN_1744649;ILMN_1688666;ILMN_1679881;ILMN_1736820;ILMN_1809139;ILMN_2058512;ILMN_1786612;ILMN_1737635;ILMN_1799688;ILMN_1687947;ILMN_1796430;ILMN_1692790;ILMN_1652989;ILMN_1701962;ILMN_2229205;ILMN_2061452;ILMN_1809010;ILMN_1709611;ILMN_1666409;ILMN_1772796;ILMN_2300186;ILMN_2245180;ILMN_1779373;ILMN_1760757;ILMN_1733256;ILMN_1800654;ILMN_1722858;ILMN_1712556;ILMN_1759789;ILMN_2376108;ILMN_1763540;ILMN_2112460;ILMN_1738784;ILMN_2357471;ILMN_1793651;ILMN_2383435;ILMN_2224990;ILMN_1795719;ILMN_1806017;ILMN_1718069;ILMN_1705093;ILMN_2196347;ILMN_1771065;ILMN_2296335;ILMN_2395389;ILMN_1739805;ILMN_1767006;ILMN_2165369;ILMN_2358842;ILMN_1779633;ILMN_2124082;ILMN_1659103;ILMN_1659553;ILMN_1758087;ILMN_2346573;ILMN_1701855;ILMN_1680937;ILMN_2277201;ILMN_2397199;ILMN_1694385;ILMN_2191428;ILMN_1700487;ILMN_1786722;ILMN_1764986;ILMN_1733396;ILMN_1770548;ILMN_1653896;ILMN_1654677;ILMN_1787988;ILMN_1778717;ILMN_1683026;ILMN_1740083;ILMN_1808907;ILMN_1813314;ILMN_1746533;ILMN_1814156;ILMN_2291010;ILMN_2136615;ILMN_1664440;ILMN_2075334;ILMN_1713436;ILMN_2108779;ILMN_1670033;ILMN_1721659;ILMN_2396813;ILMN_1676580;ILMN_1776173;ILMN_1746020;ILMN_1775925;ILMN_1684183;ILMN_1732767;ILMN_1713630;ILMN_2135537;ILMN_1720124;ILMN_1806999;ILMN_1779356;ILMN_1681542;ILMN_1847965;ILMN_1674385;ILMN_1780189;ILMN_1707173;ILMN_1758623;ILMN_1748290;ILMN_1716195;ILMN_1780302;ILMN_2053992;ILMN_1662198;ILMN_1782329;ILMN_1699709;ILMN_1723111;ILMN_2331501;ILMN_1666761;ILMN_1696839;ILMN_1732071;ILMN_1672178;ILMN_2320574;ILMN_1684038;ILMN_1652998;ILMN_1750180;ILMN_1689241;ILMN_1751120;ILMN_2157099;ILMN_2061641;ILMN_1723177;ILMN_1691165;ILMN_1813243;ILMN_1814208;ILMN_1708789;ILMN_1697691;ILMN_1797406;ILMN_2376160;ILMN_1849514;ILMN_1773847;ILMN_2363489;ILMN_2119320;ILMN_1810467;ILMN_1712659;ILMN_1778561;ILMN_2210837;ILMN_1806607;ILMN_1813657;ILMN_1782977;ILMN_1779841;ILMN_2097546;ILMN_1690397;ILMN_1753582;ILMN_1784602;ILMN_1658702;ILMN_2048326;ILMN_1802973;ILMN_1720926;ILMN_1738955;ILMN_2339796;ILMN_1777129;ILMN_1658636;ILMN_1739101;ILMN_1691428;ILMN_1700507;ILMN_1722276;ILMN_1802905;ILMN_1691188;ILMN_1813475;ILMN_1783448,ILMN_1664511;ILMN_1747911;ILMN_2202948;ILMN_1786125;ILMN_2412384;ILMN_1730825;ILMN_1716279;ILMN_1724489;ILMN_1664516;ILMN_1801257;ILMN_1712803;ILMN_2151488;ILMN_1771224;ILMN_1737195;ILMN_2362545;ILMN_1797307;ILMN_1681503;ILMN_1684217;ILMN_1664630;ILMN_1709294;ILMN_2132161;ILMN_1695357;ILMN_1736176;ILMN_2413899;ILMN_1801939;ILMN_2407619;ILMN_1668814;ILMN_1790537;ILMN_1670238;ILMN_1685916;ILMN_2301083;ILMN_1720526;ILMN_1709484;ILMN_2401436;ILMN_1742779;ILMN_2381138;ILMN_1741801;ILMN_2105923;ILMN_1807807;ILMN_1679438;ILMN_1665559;ILMN_2351916;ILMN_1684929;ILMN_1798654;ILMN_1737396;ILMN_1658010;ILMN_1768784;ILMN_1802951;ILMN_1803124;ILMN_1784860;ILMN_1732516;ILMN_1737205;ILMN_1670769;ILMN_1663390;ILMN_1793360;ILMN_1712432;ILMN_1787477;ILMN_1725121;ILMN_2355738;ILMN_2334205;ILMN_1770515;ILMN_1806818;ILMN_1664682;ILMN_2344130;ILMN_1727459;ILMN_1715905;ILMN_1697546;ILMN_1731070;ILMN_2358041;ILMN_1737862;ILMN_1748651;ILMN_1750145;ILMN_2181432;ILMN_1785756;ILMN_1801928;ILMN_2395236;ILMN_1759952;ILMN_1716895;ILMN_1751338;ILMN_2149400;ILMN_2387553;ILMN_2199284;ILMN_1764794;ILMN_1771903;ILMN_1682098;ILMN_1784946;ILMN_2379835;ILMN_1716336;ILMN_2407124;ILMN_1722102;ILMN_1756445;ILMN_1717714;ILMN_2074258;ILMN_1800952;ILMN_1795852;ILMN_1762674;ILMN_1747195;ILMN_1789176;ILMN_1728512;ILMN_1777721;ILMN_2408001;ILMN_1815924;ILMN_1732336;ILMN_1669635;ILMN_1732776;ILMN_1807535;ILMN_1815169;ILMN_1704094;ILMN_1814122;ILMN_2359887;ILMN_2096759;ILMN_2115340;ILMN_1702837;ILMN_1806483;ILMN_1785914;ILMN_1789283;ILMN_1748241;ILMN_1693221;ILMN_1806778;ILMN_1726104;ILMN_1704404;ILMN_1744649;ILMN_1688666;ILMN_1679881;ILMN_1736820;ILMN_1809139;ILMN_2058512;ILMN_1786612;ILMN_1737635;ILMN_1799688;ILMN_1687947;ILMN_1796430;ILMN_1692790;ILMN_1652989;ILMN_1701962;ILMN_2229205;ILMN_2061452;ILMN_1809010;ILMN_1709611;ILMN_1666409;ILMN_1772796;ILMN_2300186;ILMN_2245180;ILMN_1779373;ILMN_1760757;ILMN_1733256;ILMN_1800654;ILMN_1722858
Chromosome Maintenance ,0.7103644869347712,3.730253886247619,0.0,0.0,111,103,ILMN_1724489;ILMN_1801257;ILMN_1737195;ILMN_2196984;ILMN_1703906;ILMN_1668814;ILMN_1720526;ILMN_1742779;ILMN_1679438;ILMN_1658010;ILMN_1694502;ILMN_1774336;ILMN_1784860;ILMN_1755834;ILMN_1770053;ILMN_1694177;ILMN_1670769;ILMN_1713163;ILMN_1793360;ILMN_1787477;ILMN_1763907;ILMN_1664682;ILMN_1707858;ILMN_1693108;ILMN_1652580;ILMN_2191436;ILMN_1785756;ILMN_1716895;ILMN_1728199;ILMN_1671257;ILMN_1706779;ILMN_1706784;ILMN_1732336;ILMN_2115340;ILMN_1748241;ILMN_1693221;ILMN_1769634;ILMN_1688666;ILMN_1736820;ILMN_2171183;ILMN_1687947;ILMN_1803772;ILMN_1751773;ILMN_1692041;ILMN_1692790;ILMN_2120340;ILMN_2229205;ILMN_1779373;ILMN_1742143;ILMN_1785198;ILMN_1829537;ILMN_2357471;ILMN_2224990;ILMN_1795719;ILMN_1718672;ILMN_2165369;ILMN_1678775;ILMN_1753524;ILMN_1746252;ILMN_1680937;ILMN_1764986;ILMN_1708728;ILMN_1808907;ILMN_1813314;ILMN_2075334;ILMN_1713436;ILMN_2108779;ILMN_1670033;ILMN_1693669;ILMN_1768973;ILMN_1676580;ILMN_1775925;ILMN_2217935;ILMN_1681542;ILMN_1707173;ILMN_1758623;ILMN_1768488;ILMN_1755318;ILMN_1756849;ILMN_1716195;ILMN_2144426;ILMN_2053992;ILMN_1782329;ILMN_1699709;ILMN_1723111;ILMN_1775975;ILMN_1732071;ILMN_1742123;ILMN_1652998;ILMN_1750180;ILMN_1751120;ILMN_1694847;ILMN_1653514;ILMN_1666208;ILMN_2373119;ILMN_1660063;ILMN_1792689;ILMN_2119320;ILMN_1657983;ILMN_1753582;ILMN_1658702;ILMN_1716480;ILMN_1777129,ILMN_1724489;ILMN_1801257;ILMN_1737195;ILMN_2196984;ILMN_1703906;ILMN_1668814;ILMN_1720526;ILMN_1742779;ILMN_1679438;ILMN_1658010;ILMN_1694502;ILMN_1774336;ILMN_1784860;ILMN_1755834;ILMN_1770053;ILMN_1694177;ILMN_1670769;ILMN_1713163;ILMN_1793360;ILMN_1787477;ILMN_1763907;ILMN_1664682;ILMN_1707858;ILMN_1693108;ILMN_1652580;ILMN_2191436;ILMN_1785756;ILMN_1716895;ILMN_1728199;ILMN_1671257;ILMN_1706779;ILMN_1706784;ILMN_1732336;ILMN_2115340;ILMN_1748241;ILMN_1693221;ILMN_1769634;ILMN_1688666;ILMN_1736820;ILMN_2171183;ILMN_1687947;ILMN_1803772;ILMN_1751773;ILMN_1692041;ILMN_1692790;ILMN_2120340;ILMN_2229205;ILMN_1779373;ILMN_1742143;ILMN_1785198;ILMN_1829537;ILMN_2357471;ILMN_2224990;ILMN_1795719
Cross-presentation of soluble exogenous antigens (endosomes) ,0.7197449041295968,3.5061955620263294,0.0,0.0,67,49,ILMN_1737396;ILMN_1768784;ILMN_2391051;ILMN_1712432;ILMN_2344130;ILMN_1737862;ILMN_1748651;ILMN_1759952;ILMN_2387553;ILMN_1764794;ILMN_1682098;ILMN_1800952;ILMN_1747195;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1796430;ILMN_1701962;ILMN_1809010;ILMN_1709611;ILMN_1666409;ILMN_1733256;ILMN_2376108;ILMN_1763540;ILMN_2383435;ILMN_1806017;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103;ILMN_2346573;ILMN_1683026;ILMN_1814156;ILMN_2291010;ILMN_1721659;ILMN_1776173;ILMN_1732767;ILMN_1780189;ILMN_1718754;ILMN_1810264;ILMN_1697691;ILMN_1797406;ILMN_1783946;ILMN_1720926;ILMN_1691428,ILMN_1737396;ILMN_1768784;ILMN_2391051;ILMN_1712432;ILMN_2344130;ILMN_1737862;ILMN_1748651;ILMN_1759952;ILMN_2387553;ILMN_1764794;ILMN_1682098;ILMN_1800952;ILMN_1747195;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1796430;ILMN_1701962;ILMN_1809010;ILMN_1709611;ILMN_1666409;ILMN_1733256;ILMN_2376108;ILMN_1763540;ILMN_2383435;ILMN_1806017;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103
Cyclin A:Cdk2-associated events at S phase entry ,0.6630761219361585,3.469387106877956,0.0,0.0,104,85,ILMN_1786125;ILMN_2412384;ILMN_1665559;ILMN_2137084;ILMN_1737396;ILMN_1768784;ILMN_1712432;ILMN_2344130;ILMN_1737862;ILMN_1748651;ILMN_1793671;ILMN_1791002;ILMN_1759952;ILMN_2387553;ILMN_1764794;ILMN_1719256;ILMN_1682098;ILMN_1724062;ILMN_1800952;ILMN_1795852;ILMN_1749629;ILMN_1747195;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_2083243;ILMN_1782551;ILMN_1704404;ILMN_1744649;ILMN_1661717;ILMN_1778917;ILMN_2058512;ILMN_1786612;ILMN_1796430;ILMN_2338323;ILMN_1701962;ILMN_1809010;ILMN_2051469;ILMN_1709611;ILMN_1666409;ILMN_1733256;ILMN_1689001;ILMN_2376108;ILMN_1656886;ILMN_2383435;ILMN_1806017;ILMN_2196347;ILMN_2395389;ILMN_1767006;ILMN_2325610;ILMN_1779633;ILMN_2075800;ILMN_2346573;ILMN_1696591;ILMN_1743347;ILMN_2191428;ILMN_1733396;ILMN_1683026;ILMN_1814156;ILMN_2291010;ILMN_2363426;ILMN_1721659;ILMN_1776173;ILMN_1742250;ILMN_1653001;ILMN_1732767;ILMN_1780189;ILMN_1688480;ILMN_2331501;ILMN_2157099;ILMN_1653514;ILMN_1753207;ILMN_1697691;ILMN_1761828;ILMN_1778561;ILMN_1748661;ILMN_1782977;ILMN_1797055;ILMN_1711766;ILMN_1784602;ILMN_1756999;ILMN_2048326;ILMN_1720926;ILMN_1691428;ILMN_1680618,ILMN_1786125;ILMN_2412384;ILMN_1665559;ILMN_2137084;ILMN_1737396;ILMN_1768784;ILMN_1712432;ILMN_2344130;ILMN_1737862;ILMN_1748651;ILMN_1793671;ILMN_1791002;ILMN_1759952;ILMN_2387553;ILMN_1764794;ILMN_1719256;ILMN_1682098;ILMN_1724062;ILMN_1800952;ILMN_1795852;ILMN_1749629;ILMN_1747195;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_2083243;ILMN_1782551;ILMN_1704404;ILMN_1744649;ILMN_1661717;ILMN_1778917;ILMN_2058512;ILMN_1786612;ILMN_1796430;ILMN_2338323;ILMN_1701962;ILMN_1809010;ILMN_2051469;ILMN_1709611;ILMN_1666409;ILMN_1733256;ILMN_1689001;ILMN_2376108;ILMN_1656886;ILMN_2383435;ILMN_1806017;ILMN_2196347;ILMN_2395389;ILMN_1767006;ILMN_2325610;ILMN_1779633
DNA Replication ,0.749167357374468,3.818449132435346,0.0,0.0,145,127,ILMN_1786125;ILMN_2412384;ILMN_1724489;ILMN_1681503;ILMN_2413899;ILMN_1670238;ILMN_2301083;ILMN_1741801;ILMN_1665559;ILMN_1798654;ILMN_1737396;ILMN_1768784;ILMN_1694502;ILMN_1774336;ILMN_1784860;ILMN_1755834;ILMN_1737205;ILMN_1694177;ILMN_1777233;ILMN_1651237;ILMN_1712432;ILMN_1807501;ILMN_1809590;ILMN_1806818;ILMN_1664682;ILMN_2344130;ILMN_1727459;ILMN_1731070;ILMN_1696713;ILMN_1652580;ILMN_1737862;ILMN_1748651;ILMN_2191436;ILMN_1791002;ILMN_1759952;ILMN_1716895;ILMN_2387553;ILMN_2199284;ILMN_1728199;ILMN_1764794;ILMN_1682098;ILMN_1784946;ILMN_2407124;ILMN_1722102;ILMN_1800952;ILMN_1706779;ILMN_1669502;ILMN_1795852;ILMN_1749629;ILMN_1747195;ILMN_1789176;ILMN_1732336;ILMN_1815169;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1785914;ILMN_1754272;ILMN_1806778;ILMN_1726104;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1720114;ILMN_1799688;ILMN_1796430;ILMN_1803772;ILMN_1751773;ILMN_1701962;ILMN_2061452;ILMN_1809010;ILMN_1666670;ILMN_2051469;ILMN_1709611;ILMN_1666409;ILMN_1733256;ILMN_1800654;ILMN_1785198;ILMN_2376108;ILMN_1763540;ILMN_2383435;ILMN_1795719;ILMN_1806017;ILMN_1705093;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103;ILMN_1746252;ILMN_1659553;ILMN_2346573;ILMN_2191428;ILMN_1787988;ILMN_1778717;ILMN_1683026;ILMN_1740083;ILMN_1814156;ILMN_2291010;ILMN_1721659;ILMN_1776173;ILMN_1732767;ILMN_2217935;ILMN_1780189;ILMN_1699709;ILMN_2331501;ILMN_1775975;ILMN_1697751;ILMN_2157099;ILMN_1798880;ILMN_1723177;ILMN_1813243;ILMN_1753207;ILMN_1697691;ILMN_1797406;ILMN_1849514;ILMN_1660063;ILMN_2210837;ILMN_1782977;ILMN_1711766;ILMN_1753582;ILMN_2048326;ILMN_1802973;ILMN_1720926;ILMN_1738955;ILMN_2339796;ILMN_1691428,ILMN_1786125;ILMN_2412384;ILMN_1724489;ILMN_1681503;ILMN_2413899;ILMN_1670238;ILMN_2301083;ILMN_1741801;ILMN_1665559;ILMN_1798654;ILMN_1737396;ILMN_1768784;ILMN_1694502;ILMN_1774336;ILMN_1784860;ILMN_1755834;ILMN_1737205;ILMN_1694177;ILMN_1777233;ILMN_1651237;ILMN_1712432;ILMN_1807501;ILMN_1809590;ILMN_1806818;ILMN_1664682;ILMN_2344130;ILMN_1727459;ILMN_1731070;ILMN_1696713;ILMN_1652580;ILMN_1737862;ILMN_1748651;ILMN_2191436;ILMN_1791002;ILMN_1759952;ILMN_1716895;ILMN_2387553;ILMN_2199284;ILMN_1728199;ILMN_1764794;ILMN_1682098;ILMN_1784946;ILMN_2407124;ILMN_1722102;ILMN_1800952;ILMN_1706779;ILMN_1669502;ILMN_1795852;ILMN_1749629;ILMN_1747195;ILMN_1789176;ILMN_1732336;ILMN_1815169;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1785914;ILMN_1754272;ILMN_1806778;ILMN_1726104;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1720114;ILMN_1799688;ILMN_1796430;ILMN_1803772;ILMN_1751773;ILMN_1701962;ILMN_2061452;ILMN_1809010;ILMN_1666670;ILMN_2051469;ILMN_1709611;ILMN_1666409;ILMN_1733256;ILMN_1800654
DNA Replication Pre-Initiation ,0.7577164473879755,3.936199221931137,0.0,0.0,103,85,ILMN_1681503;ILMN_2413899;ILMN_1670238;ILMN_1741801;ILMN_1665559;ILMN_1798654;ILMN_1737396;ILMN_1768784;ILMN_1694502;ILMN_1774336;ILMN_1737205;ILMN_1777233;ILMN_1651237;ILMN_1712432;ILMN_1806818;ILMN_2344130;ILMN_1727459;ILMN_1731070;ILMN_1696713;ILMN_1737862;ILMN_1748651;ILMN_2191436;ILMN_1759952;ILMN_1716895;ILMN_2387553;ILMN_1728199;ILMN_1764794;ILMN_1682098;ILMN_1784946;ILMN_2407124;ILMN_1800952;ILMN_1669502;ILMN_1747195;ILMN_1789176;ILMN_1815169;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1785914;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1720114;ILMN_1796430;ILMN_1701962;ILMN_2061452;ILMN_1809010;ILMN_2051469;ILMN_1709611;ILMN_1666409;ILMN_1733256;ILMN_1800654;ILMN_1785198;ILMN_2376108;ILMN_1763540;ILMN_2383435;ILMN_1795719;ILMN_1806017;ILMN_1705093;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103;ILMN_2346573;ILMN_2191428;ILMN_1683026;ILMN_1740083;ILMN_1814156;ILMN_2291010;ILMN_1721659;ILMN_1776173;ILMN_1732767;ILMN_1780189;ILMN_2331501;ILMN_1775975;ILMN_1798880;ILMN_1697691;ILMN_1797406;ILMN_1660063;ILMN_1782977;ILMN_1753582;ILMN_2048326;ILMN_1720926;ILMN_1691428,ILMN_1681503;ILMN_2413899;ILMN_1670238;ILMN_1741801;ILMN_1665559;ILMN_1798654;ILMN_1737396;ILMN_1768784;ILMN_1694502;ILMN_1774336;ILMN_1737205;ILMN_1777233;ILMN_1651237;ILMN_1712432;ILMN_1806818;ILMN_2344130;ILMN_1727459;ILMN_1731070;ILMN_1696713;ILMN_1737862;ILMN_1748651;ILMN_2191436;ILMN_1759952;ILMN_1716895;ILMN_2387553;ILMN_1728199;ILMN_1764794;ILMN_1682098;ILMN_1784946;ILMN_2407124;ILMN_1800952;ILMN_1669502;ILMN_1747195;ILMN_1789176;ILMN_1815169;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1785914;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1720114;ILMN_1796430;ILMN_1701962;ILMN_2061452;ILMN_1809010;ILMN_2051469;ILMN_1709611;ILMN_1666409;ILMN_1733256;ILMN_1800654;ILMN_1785198;ILMN_2376108;ILMN_1763540;ILMN_2383435;ILMN_1795719;ILMN_1806017;ILMN_1705093;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103
DNA strand elongation ,0.8439915227080067,3.884737722539583,0.0,0.0,31,31,ILMN_1724489;ILMN_1681503;ILMN_1670238;ILMN_1798654;ILMN_1694502;ILMN_1784860;ILMN_1755834;ILMN_1737205;ILMN_1694177;ILMN_1807501;ILMN_1809590;ILMN_1806818;ILMN_1664682;ILMN_1652580;ILMN_2191436;ILMN_1716895;ILMN_2407124;ILMN_1706779;ILMN_1732336;ILMN_1815169;ILMN_1754272;ILMN_1803772;ILMN_1751773;ILMN_1800654;ILMN_1795719;ILMN_1746252;ILMN_2217935;ILMN_1699709;ILMN_1775975;ILMN_1697751;ILMN_1753582,ILMN_1724489;ILMN_1681503;ILMN_1670238;ILMN_1798654;ILMN_1694502;ILMN_1784860;ILMN_1755834;ILMN_1737205;ILMN_1694177;ILMN_1807501;ILMN_1809590;ILMN_1806818;ILMN_1664682;ILMN_1652580;ILMN_2191436;ILMN_1716895;ILMN_2407124;ILMN_1706779;ILMN_1732336;ILMN_1815169;ILMN_1754272;ILMN_1803772;ILMN_1751773
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC) ,0.8400433545522092,3.7948068255271377,0.0,0.0,32,31,ILMN_1768293;ILMN_2381138;ILMN_1784467;ILMN_1673962;ILMN_1725612;ILMN_1751338;ILMN_1749930;ILMN_1771903;ILMN_1705907;ILMN_1762674;ILMN_1815924;ILMN_1669635;ILMN_1732776;ILMN_1730999;ILMN_1734826;ILMN_2378316;ILMN_2061405;ILMN_1701374;ILMN_2196569;ILMN_1755321;ILMN_1652989;ILMN_2115154;ILMN_1690259;ILMN_1738681;ILMN_1815530;ILMN_1666049;ILMN_1715416;ILMN_2145050;ILMN_2320574;ILMN_1694472;ILMN_1662130,ILMN_1768293;ILMN_2381138;ILMN_1784467;ILMN_1673962;ILMN_1725612;ILMN_1751338;ILMN_1749930;ILMN_1771903;ILMN_1705907;ILMN_1762674;ILMN_1815924;ILMN_1669635;ILMN_1732776;ILMN_1730999;ILMN_1734826;ILMN_2378316;ILMN_2061405;ILMN_1701374;ILMN_2196569;ILMN_1755321;ILMN_1652989;ILMN_2115154;ILMN_1690259
Deposition of new CENPA-containing nucleosomes at the centromere ,0.6929652899293473,3.5106328707850603,0.0,0.0,74,68,ILMN_1801257;ILMN_1737195;ILMN_2196984;ILMN_1703906;ILMN_1668814;ILMN_1720526;ILMN_1742779;ILMN_1679438;ILMN_1658010;ILMN_1770053;ILMN_1713163;ILMN_1793360;ILMN_1787477;ILMN_1763907;ILMN_1707858;ILMN_1693108;ILMN_1785756;ILMN_1706784;ILMN_2115340;ILMN_1748241;ILMN_1693221;ILMN_1769634;ILMN_1688666;ILMN_1736820;ILMN_2171183;ILMN_1687947;ILMN_1692790;ILMN_2229205;ILMN_1779373;ILMN_1742143;ILMN_1829537;ILMN_2357471;ILMN_2224990;ILMN_2165369;ILMN_1678775;ILMN_1753524;ILMN_1680937;ILMN_1764986;ILMN_1708728;ILMN_1808907;ILMN_1813314;ILMN_2075334;ILMN_1713436;ILMN_2108779;ILMN_1670033;ILMN_1768973;ILMN_1676580;ILMN_1775925;ILMN_1681542;ILMN_1758623;ILMN_1755318;ILMN_1756849;ILMN_1716195;ILMN_2144426;ILMN_2053992;ILMN_1782329;ILMN_1723111;ILMN_1732071;ILMN_1742123;ILMN_1652998;ILMN_1750180;ILMN_1751120;ILMN_1653514;ILMN_1666208;ILMN_1792689;ILMN_2119320;ILMN_1658702;ILMN_1777129,ILMN_1801257;ILMN_1737195;ILMN_2196984;ILMN_1703906;ILMN_1668814;ILMN_1720526;ILMN_1742779;ILMN_1679438;ILMN_1658010;ILMN_1770053;ILMN_1713163;ILMN_1793360;ILMN_1787477;ILMN_1763907;ILMN_1707858;ILMN_1693108;ILMN_1785756;ILMN_1706784;ILMN_2115340;ILMN_1748241;ILMN_1693221;ILMN_1769634;ILMN_1688666;ILMN_1736820;ILMN_2171183;ILMN_1687947;ILMN_1692790;ILMN_2229205;ILMN_1779373;ILMN_1742143;ILMN_1829537;ILMN_2357471;ILMN_2224990
